선박,월,v_판정,주입TRO평균,배출TRO최대,주입전압,주입전류,미복귀트립,가스,전압미인가,★내라벨,종합요약(ai_remarks)
KMTC SINGAPORE,2026-02,ACTION,,,5.94,1912.56,80,0,0,ACTION,"[운전 현황] 주입 33회 / 배출 15회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 3840m³/12.59h, 배출 2380m³/7.8h.  ‖  [ECU] 전류 1922.57A / 유량 300m³/h / ANU Operating.  ‖  🔧 밸브 이상 (Alarm 25건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  ⚠️ 기타 (Alarm 2건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  🔬 TRO 이상 (Trip 2건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  🧪 중화제 이상 (Alarm 3건) — 오버플로우 방지 밸브 및 배출 라인 점검. 레벨 센서 고착 여부 확인  ‖  ⚡ ECU/전원 이상 (Alarm 1건) — 자동 운전 불가 상태. RCM 셀렉트 스위치 변경 또는 원인 알람 확인 후 리셋  ‖  ⚠️ 반복 알람: CODE721(22회), CODE200(17회), CODE727(7회), CODE774(6회), CODE220(5회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [운전시간 오류] 3건, [중복기록 의심] 1건.  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [종합] Trip 2건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC PUSAN,2026-01,ACTION,4.96,1.29,4.33,1442.23,7,0,0,ACTION,"[운전 현황] 주입 33회 / 배출 6회. 주입 TRO 최솟값 0.5ppm / 평균 4.96ppm(5~10ppm 미달). 배출 TRO 최댓값 1.29ppm(IMO 기준 초과). 총 처리량: 주입 890m³/3.33h, 배출 1005m³/4.72h.  ‖  [ECU] 전류 1442.23A / 유량 239.56m³/h / ANU Operating.  ‖  [TRO 경고] 배출 TRO 1.29ppm — IMO 기준(0.1ppm) 대폭 초과. TRO 센서 교차오염, Ballast/Deballast 컬럼 혼동, 또는 중화 불량 가능성. Data Log 원본 확인 권장.  ‖  🔬 TRO 이상 (Trip 1건 / Alarm 1건) — Ballast >10mg/L 또는 Deballast >0.1mg/L(IMO)/>0.07mg/L(USCG). STS 주입 펌프 및 ANU 탱크 레벨 확인  ‖  🔧 밸브 이상 (Alarm 12건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  ⚡ ECU/전원 이상 (Trip 1건) — ECU 내부 점검 — 전류 과부하(>PRU×1125A), 고압(>4.5bar), 고온(>45°C), VLS 에러 가능성. PRU 상태 및 전극 확인  ‖  ⚠️ 기타 (Alarm 1건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  🌡️ 환경/센서 (Alarm 1건) — 염분 <1.0PSU (1분 지속 Alarm, 2분 Fault). 저염분 해역 운항 시 처리 효율 저하. CSU 센서 점검  ‖  💧 유량 이상 (Trip 2건) — 유량 >110% (저염분 Mixing 시 >80%). 3분 지속 Alarm, 5분 Fault. 유량 조절 밸브 및 FMU 센서 점검  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  ⚠️ 반복 알람: CODE100(14회), CODE774(8회), CODE731(7회), CODE200(6회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [중복기록 의심] 2건, [볼륨 미기록 의심] 1건.  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [종합] Trip 4건 발생, 주입 TRO 미달, 배출 TRO 기준 초과, 배출 TRO 이상값 확인 필요. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC PUSAN,2026-02,ACTION,3.15,11.51,3.68,1767.51,7,0,0,ACTION,"[운전 현황] 주입 40회 / 배출 10회. 주입 TRO 최솟값 0.11ppm / 평균 3.15ppm(5~10ppm 미달). 배출 TRO 최댓값 11.51ppm(IMO 기준 초과). 총 처리량: 주입 846m³/3.01h, 배출 1059m³/5.1h.  ‖  [ECU] 전류 1767.51A / 유량 238.51m³/h / ANU Operating.  ‖  [TRO 경고] 배출 TRO 11.51ppm — IMO 기준(0.1ppm) 대폭 초과. TRO 센서 교차오염, Ballast/Deballast 컬럼 혼동, 또는 중화 불량 가능성. Data Log 원본 확인 권장.  ‖  ⚡ ECU/전원 이상 (Trip 1건) — ECU 내부 점검 — 전류 과부하(>PRU×1125A), 고압(>4.5bar), 고온(>45°C), VLS 에러 가능성. PRU 상태 및 전극 확인  ‖  💧 유량 이상 (Trip 1건) — 유량 >110% (저염분 Mixing 시 >80%). 3분 지속 Alarm, 5분 Fault. 유량 조절 밸브 및 FMU 센서 점검  ‖  🔧 밸브 이상 (Alarm 13건) — 밸브 작동 중 ECS 비정상 종료. 밸브 현재 위치 확인 후 수동 리셋  ‖  🔬 TRO 이상 (Trip 1건 / Alarm 1건) — Ballast >10mg/L 또는 Deballast >0.1mg/L(IMO)/>0.07mg/L(USCG). STS 주입 펌프 및 ANU 탱크 레벨 확인  ‖  🧪 중화제 이상 (Alarm 2건) — 중화제 보충 필요. 레벨 센서 및 공급 라인 밸브 점검  ‖  ⚠️ 반복 알람: CODE605(18회), CODE100(13회), CODE200(9회), CODE731(7회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [중복기록 의심] 2건.  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [종합] Trip 3건 발생, 주입 TRO 미달, 배출 TRO 기준 초과, 배출 TRO 이상값 확인 필요. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC QINGDAO,2026-02,ACTION,,,6.7,2475.91,5,0,0,ACTION,"[운전 현황] 주입 21회 / 배출 4회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 2334m³/3.89h, 배출 2393m³/4.42h.  ‖  [ECU] 전류 2486.14A / 유량 556.41m³/h / ANU Standby.  ‖  🔧 밸브 이상 (Alarm 6건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  🔬 TRO 이상 (Trip 1건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  ⚠️ 기타 (Alarm 1건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  🌡️ 환경/센서 (Trip 1건) — 염분 <1.0PSU (1분 지속 Alarm, 2분 Fault). 저염분 해역 운항 시 처리 효율 저하. CSU 센서 점검  ‖  ⚠️ 반복 알람: CODE220(15회), CODE200(8회), CODE727(5회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [종합] Trip 2건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC KEELUNG,2026-04,ACTION,,,3.88,1706.5,8,0,0,ACTION,"[운전 현황] 운용 3일(발라스팅 2일 / 디발라스팅 1일). 주입 6회 / 배출 3회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 601m³/2.34h, 배출 651m³/3.09h.  ‖  [ECU] 전류 1706.5A / 유량 229.44m³/h / ANU Operating.  ‖  ⚠️ 기타 (Alarm 1건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  🧪 중화제 이상 (Alarm 2건) — 중화제(NaCl) 초기 충전 필요. 레벨 센서 영점 교정 및 탱크 상태 확인  ‖  🔧 밸브 이상 (Alarm 4건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  📡 통신 장애 (Trip 1건) — ECS 장비 간 통신 두절. 1분 지속 시 Shutdown. RTU/AIM 모듈 케이블 및 커넥터 점검  ‖  🔬 TRO 이상 (Trip 1건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  ⚠️ 반복 알람: CODE200(5회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [종합] Trip 2건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC NINGBO,2026-04,ACTION,,,4.03,2650.61,0,0,0,ACTION,"[운전 현황] 운용 2일(발라스팅 2일 / 디발라스팅 0일). 주입 9회 / 배출 0회. 주입 TRO 미수신(5~10ppm 미달). 배출 TRO 최댓값 미수신(IMO 기준 충족). 총 처리량: 주입 539m³/1.36h, 배출 0m³/0h.  ‖  [ECU] 전류 2650.61A / 유량 399.11m³/h / ANU Standby — 정상 상관관계.  ‖  🔬 TRO 이상 (Trip 10건 / Alarm 0건) — CLX 시약 유효기간 및 TSU Bypass Line 점검 / STS 주입 펌프 점검.  ‖  🌊 유량 이상 (Trip 0건 / Alarm 4건) — 유량 센서 점검 및 필터 청소.  ‖  ⚠️ 반복 알람: CODE200(10회), CODE220(4회) — 근본 원인 분석(RCA) 필요.  ‖  [운항 해역] 태평양.  ‖  [종합] Trip 10건 발생, 주입 TRO 미수신. 즉각적인 장비 점검 및 원인 분석이 필요합니다."
KMTC SHENZHEN,2026-04,ACTION,,,4.77,2798.79,20,47,0,ACTION,"[운전 현황] 운용 4일(발라스팅 2일 / 디발라스팅 4일). 주입 11회 / 배출 16회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 324m³/0.79h, 배출 5045m³/11.45h.  ‖  [ECU] 전류 2798.79A / 유량 414.05m³/h / ANU Standby.  ‖  🔧 밸브 이상 (Alarm 8건) — 밸브 작동 중 ECS 비정상 종료. 밸브 현재 위치 확인 후 수동 리셋  ‖  🔬 TRO 이상 (Alarm 1건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  ⚡ ECU/전원 이상 (Trip 4건) — ECU 내부 점검 — 전류 과부하(>PRU×1125A), 고압(>4.5bar), 고온(>45°C), VLS 에러 가능성. PRU 상태 및 전극 확인  ‖  ⚠️ 기타 (Alarm 3건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  📡 통신 장애 (Trip 2건) — 해당 센서 배선 및 커넥터 점검. 센서 모듈 교체 필요 여부 확인  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  ⚠️ 반복 알람: CODE703(6회), CODE406(6회), CODE100(5회), CODE727(5회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [종료시간 누락] 2건, [중복기록 의심] 1건.  ‖  [운항 해역] 동아시아.  ‖  [종합] Trip 6건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC SHENZHEN,2026-05,ACTION,,,,,7,0,0,ACTION,"[운전 현황] 운용 15일(발라스팅 13일 / 디발라스팅 9일). 주입 132회 / 배출 38회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 15030m³/60.26h, 배출 7631m³/33.61h.  ‖  🔧 밸브 이상 (Alarm 71건) — 밸브 작동 중 ECS 비정상 종료. 밸브 현재 위치 확인 후 수동 리셋  ‖  🔬 TRO 이상 (Trip 12건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  ⚠️ 기타 (Alarm 12건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  📡 통신 장애 (Trip 2건) — ECS 장비 간 통신 두절. 1분 지속 시 Shutdown. RTU/AIM 모듈 케이블 및 커넥터 점검  ‖  ⚡ ECU/전원 이상 (Trip 2건 / Alarm 2건) — ECU 내부 점검 — 전류 과부하(>PRU×1125A), 고압(>4.5bar), 고온(>45°C), VLS 에러 가능성. PRU 상태 및 전극 확인  ‖  🧪 중화제 이상 (Alarm 11건) — 중화제(NaCl) 초기 충전 필요. 레벨 센서 영점 교정 및 탱크 상태 확인  ‖  🚨 안전 경고 (Alarm 4건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  ⚠️ 반복 알람: CODE731(69회), CODE200(12회), CODE220(11회), CODE302(7회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [볼륨 미기록 의심] 60건, [중복기록 의심] 67건.  ‖  [운항 해역] 태평양.  ‖  [VRCS] 밸브 제어 시스템 알람 256건 — BWTS 판정과 별개로 별도 조치 필요.  ‖  [종합] Trip 16건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC TIANJIN,2026-02,ACTION,,,,,30,0,0,ACTION,"[운전 현황] 주입 0회 / 배출 0회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신.  ‖  ⚠️ 기타 (Trip 1건 / Alarm 1건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  📡 통신 장애 (Trip 2건) — 해당 센서 배선 및 커넥터 점검. 센서 모듈 교체 필요 여부 확인  ‖  🔧 밸브 이상 (Alarm 1건) — 밸브 반복 개폐 감지. 공압 라인 누기, 리미트 스위치, 솔레노이드 밸브 즉각 점검  ‖  ⚠️ 반복 알람: CODE701(26회), CODE703(9회), CODE773(7회) — 근본 원인 분석(RCA) 필요  ‖  [종합] Trip 3건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. "
KMTC SINGAPORE,2026-03,ACTION,,,5.46,1945.54,37,0,0,ACTION,"[운전 현황] 주입 6회 / 배출 8회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 960m³/3.19h, 배출 2110m³/6.99h.  ‖  [ECU] 전류 1945.54A / 유량 300m³/h / ANU Operating.  ‖  🚨 안전 경고 (Alarm 2건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  🔬 TRO 이상 (Trip 1건) — Ballast >10mg/L 또는 Deballast >0.1mg/L(IMO)/>0.07mg/L(USCG). STS 주입 펌프 및 ANU 탱크 레벨 확인  ‖  🔧 밸브 이상 (Alarm 22건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  ⚡ ECU/전원 이상 (Trip 1건) — ECU 내부 점검 — 전류 과부하(>PRU×1125A), 고압(>4.5bar), 고온(>45°C), VLS 에러 가능성. PRU 상태 및 전극 확인  ‖  ⚠️ 반복 알람: CODE721(17회), CODE727(5회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동아시아, 동남아시아.  ‖  [종합] Trip 2건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
